company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
WEST WIGHT NURSERY,06398420,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2007-10-15,,,85100,"Summers Lane Totland Bay Isle Of Wight PO39 0HQ "
JPB DEVELOPMENTS IOW LIMITED,14894631,Active,Private limited company,,,2023-05-25,,,68209,The Old Dairy Long Lane Newport PO30 2NW United Kingdom
THE ISLE OF WIGHT HERITAGE & FIELD STUDIES CENTRE,04095363,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2000-10-24,,,85520 91030,"Great Whitcombe Manor Whitcombe Road Carisbrooke Newport PO30 3DY "
SELMAN GARDENS MANAGEMENT COMPANY LIMITED,05846663,Active,Private limited company,,,2006-06-14,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
POLLEN PROPERTIES LIMITED,15640430,Active,Private limited company,,,2024-04-12,,,68100 68209,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT United Kingdom
IOW HOMES LTD,15689546,Active,Private limited company,,,2024-04-29,,,68209,75 Perowne Way Sandown PO36 9BX United Kingdom
DIBS LONDON LIMITED,15572623,Active,Private limited company,,,2024-03-18,,,62090,Clarence House 13 Park Avenue Ventnor PO38 1LE United Kingdom
ISLO CAR PARTS AND ACCESSORIES LTD,15592240,Active,Private limited company,,,2024-03-25,,,45400,4 Pumpmews School Green Road Freshwater PO40 9FN United Kingdom
THE PADDOCK (SHENLEY) LIMITED,15626030,Active,Private limited company,,,2024-04-08,,,68100,Harrison Black East Quay Kite Hill Wootton Bridge PO33 4LA England
AMJ IOW LTD,15507617,Active,Private limited company,,,2024-02-20,,,43320,16b-C Sandown Road Lake PO36 9JP England
ISLAND RISE BAKERY LTD,15565357,Active,Private limited company,,,2024-03-15,,,47240,The Control Tower Mill Lane Newport PO30 2LA United Kingdom
ALUC TRADING LTD,13424934,Active,Private limited company,,,2021-05-27,,,47789,1 Langley Court Pyle Street Newport PO30 1LA England
CHAPEL LODGE MANAGEMENT COMPANY LIMITED,04742927,Active,Private limited company,,,2003-04-24,,,98000,"Flat 1 Chapel Lodge Beatrice Avenue Shanklin PO37 6EN "
SJT CONSTRUCTION (IW) LTD.,08055820,Active,Private limited company,,,2012-05-03,,,38310 41100 41202,"5 Somerset Road Ryde PO33 1BU "
J.M. FLOORING (IOW) LIMITED,09055319,Active,Private limited company,,,2014-05-23,,,43330,Unit 38 Pondacre Farm Yarmouth Road Shalfleet Newport PO30 4LZ England
ISLE OF WIGHT COUNTY SHOW LIMITED,03073702,Active,Private limited company,,,1995-06-28,,,93290,Shide Meadows Centre Shide Road Newport PO30 1HR England
MEADOW BARN MANAGEMENT COMPANY LIMITED,05801483,Active,Private limited by guarantee without share capital,,,2006-04-29,,,96090,"3 Garfield Road Ryde Isle Of Wight PO33 2PS "
VECTIS EQUINE VETS LIMITED,08083805,Active,Private limited company,,,2012-05-25,,,75000,"Systems House St. Cross Lane Newport PO30 5BZ "
EQUALIZER PRODUCTIONS LTD,14318770,Active,Private limited company,,,2022-08-25,,,77291 90020,"Equalizer Productions Durrants Farm, Colemans Lane Porchfield Newport PO30 4PE England"
M & CO SOLUTIONS LTD,12578997,Active,Private limited company,,,2020-04-29,,,96090,The Apple Farm Newport Road Freshwater PO40 9XR United Kingdom
VECTIS HOLIDAY HOMES LLP,OC437163,Active,Limited liability partnership,,,2021-04-29,,," ",Exchange House St Cross Lane Newport PO30 5BZ United Kingdom
LIZ EARLE BEAUTY CO. LIMITED,03070395,Active,Private limited company,,,1995-06-20,,,20420 47750,The Green House Nicholson Road Ryde PO33 1BD England
GIBBS (IOW) LTD,10351048,Active,Private limited company,,,2016-08-30,,,68100 68209 82990,Colemans Farm Colemans Lane Porchfield Newport PO30 4LX England
SOMERTON VEHICLE REPAIRS LIMITED,11842168,Active,Private limited company,,,2019-02-22,,,45200,2b Somerton Industrial Estate Cowes PO31 8PB United Kingdom
GREENER BUSINESS EXPERT COMMUNITY INTEREST COMPANY,15745442,Active,Private limited company,Community Interest Company (CIC),,2024-05-28,,,70229,69 St Johns Road Newport PO30 1LW United Kingdom
FILM INFORMATION TECHNOLOGY LIMITED,03346631,Active,Private limited company,,,1997-04-07,,,74990,Little Gambit 27 Church Road Binstead Ryde PO33 3TA United Kingdom
WOOTTON BRIDGE INDUSTRIES LIMITED,01108546,Active,Private limited company,,,1973-04-16,,,68209,"Chawton Farm Cottage Chawton Lane Cowes PO31 8PR "
YACHTDPA LIMITED,13751273,Active,Private limited company,,,2021-11-18,,,99999,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
CLARE'S COSMETIC SKIN CENTRE LTD,11839814,Active,Private limited company,,,2019-02-21,,,96020,"Kynges House West Street Brading Sandown PO36 0DS "
CAB ACCOUNTANCY AND BUSINESS SOLUTIONS LTD,14135529,Active,Private limited company,,,2022-05-26,,,69201 82990,7 Red Fox Approach Newport PO30 2GW United Kingdom
J&K FLORAL DESIGNS LTD,11535933,Active,Private limited company,,,2018-08-24,,,47760,17 Nightingale Road Newport PO30 5GB England
SEA VIEW YACHT CLUB LIMITED,04446786,Active,Private limited by guarantee without share capital,,,2002-05-24,,,93199,"Sea View Yacht Club Esplanade Seaview PO34 5HB "
RYDE BOOKSHOP LIMITED,04524365,Active,Private limited company,,,2002-09-02,,,47620,135 High Street Ryde PO33 2RJ England
ADAM FRAMPTON PLANT HIRE LIMITED,04878706,Active,Private limited company,,,2003-08-27,,,77320,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
THE MOORFIELD CHASE ESTATE LIMITED,14832917,Active,Private limited company,,,2023-04-27,,,68209,Moorfield Chase Chilton Lane Brighstone Newport PO30 4DR United Kingdom
FLOWERBELLE BARN LTD,11503391,Active,Private limited company,,,2018-08-07,,,47760,Exchange House St. Cross Lane Newport PO30 5BZ England
GREEN PEPPERS RED TOMATOES LTD,13796388,Active,Private limited company,,,2021-12-13,,,56103,The Round House Fairlee Road Newport PO30 2JU England
BULLEN VILLAGE MANAGEMENT COMPANY LIMITED,06259178,Active,Private limited by guarantee without share capital,,,2007-05-24,,,98000,30 Chatfield Lodge Newport PO30 1XR England
VISION FINANCIAL SERVICES LTD,14576263,Active,Private limited company,,,2023-01-06,,,64999,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
EDA SALVAGE LTD,07271490,Active,Private limited company,,,2010-06-02,,,38310,"Kensworth Industrial Estate Isle Of Wight Lane Kensworth LU6 2PP "
NATURE'S JOURNEY LTD,12582223,Active,Private limited company,,,2020-05-01,,,46450 47750,Unit 3e Rink Road Industrial Estate Rink Road Ryde PO33 2LT United Kingdom
THE WIGHT SEAGULL LIMITED,07338802,Active,Private limited company,,,2010-08-06,,,56103,36 Union Street Ryde PO33 2LE England
WINGMAN FP LIMITED,06606034,Active,Private limited company,,,2008-05-29,,,62020,Twyford House East Hill Road Ryde PO33 1LU England
SOOTSEEKERS PROPERTY SERVICES LIMITED,14884747,Active,Private limited company,,,2023-05-22,,,43220 43910,Shamrock Ashey Road Ryde Isle Of Wight PO33 4AU England
DEVSON INVESTMENTS LTD,10571454,Active,Private limited company,,,2017-01-18,,,68100,28 Riboleau Street Ryde PO33 2JT United Kingdom
ROSE COURT LIMITED,04782376,Active,Private limited company,,,2003-05-30,,,98000,"8 Gunville Road Newport PO30 5LB "
WEBB JENKINS (IW) LIMITED,07299491,Active,Private limited company,,,2010-06-29,,,68310,1 Langley Court Pyle Street Newport PO30 1LA England
INSERVE RISK ENGINEERING LIMITED,08816497,Active,Private limited company,,,2013-12-16,,,71129,Edgecombe House 2 Littlestairs Road Shanklin PO37 6HR England
HARBROWN LIMITED,04268581,Active,Private limited company,,,2001-08-10,,,50400,"28 Osborne Heights East Cowes PO32 6FE "
FOOSE DEVELOPMENTS LTD,11154724,Active,Private limited company,,,2018-01-17,,,41100 68100,1 Langley Court Pyle Street Newport PO30 1LA England
HONEST ENERGY SOLUTIONS LIMITED,14133569,Active,Private limited company,,,2022-05-26,,,82990,Sharon Orchard Smallbrook Lane Ryde PO33 4BF United Kingdom
ELEMENT HOUSING LIMITED,12164919,Active,Private limited company,,,2019-08-20,,,41100 82990,East Quay Kite Hill Wootton Bridge PO33 4LA England
CAPITAL MARINE SERVICES (UK) LIMITED,06384561,Active,Private limited company,,,2007-09-28,,,74909,Royal Maritime House St. Thomas Street Ryde PO33 2DL England
SUSAN PAYNE PROPERTY LTD,10753879,Active,Private limited company,,,2017-05-04,,,82990,The Black Building East Quay Wootton Bridge Ryde PO33 4LA England
LCM (HOLDINGS) LIMITED,04300235,Active,Private limited company,,,2001-10-05,,,82990,"Unit 15 Newport Business Park Barry Way Newport PO30 5GY "
ELLEN MACARTHUR FOUNDATION TRADING LIMITED,07110767,Active,Private limited company,,,2009-12-22,,,96090,"The Sail Loft 42 Medina Road Cowes PO31 7BX "
BRIGHT SPARKS CHILDCARE LIMITED,11947819,Active,Private limited company,,,2019-04-15,,,88910,Bright Sparks Preschool Atkinson Drive Newport PO30 2LJ United Kingdom
OH SO & CO RETAIL LTD,06364852,Active,Private limited company,,,2007-09-07,,,47990,1 Langley Court Pyle Street Newport PO30 1LA England
CORE GROUP SERVICES LIMITED,10163637,Active,Private limited company,,,2016-05-05,,,43290,27 Fairview Crescent Lake PO36 9EL United Kingdom
W.HURST & SON.(I.W.)LIMITED,00693444,Active,Private limited company,,,1961-05-23,,,47520 47540 47710 47789,"33 Holyrood Street Newport Isle Of Wight PO30 5AX "
ORANGE HOUSE CONSULTANCY LTD,12358277,Active,Private limited company,,,2019-12-11,,,70229,The Old Coach House The Old Coach House Calbourne Road Swainston PO30 4HX United Kingdom
GURNARD PRE-SCHOOL,07390218,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2010-09-28,,,85100,"Gurnard Pre-School Baring Road Cowes PO31 8DS "
OSBORNE VILLAS LIMITED,10396768,Active,Private limited company,,,2016-09-27,,,98000,Flat 3 Osborne Villas 49a Cambridge Road East Cowes PO32 6AH England
SALESMATCH LTD,04294436,Active,Private limited company,,,2001-09-26,,,70229 82990,"42 Baring Road Cowes Isle Of Wight PO31 8DE "
TEA & TOAST MANAGEMENT LIMITED,09623190,Active,Private limited company,,,2015-06-04,,,82301,The Round House 233 Fairlee Road Newport PO30 2JU England
SGBG LIMITED,09187952,Active,Private limited company,,,2014-08-28,,,56302 68209,"Horse And Groom Main Road Ningwood PO30 4NW "
STOREROOM 2010,07488966,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2011-01-11,,,46150,"1 Mariners Way Cowes PO31 8PD "
PANGBOURNE & GORING PROPERTIES LIMITED,05776886,Active,Private limited company,,,2006-04-11,,,68209,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
SDB AERO SUPPORT LTD,13649011,Active,Private limited company,,,2021-09-28,,,33160,64 Worsley Road Cowes PO31 8JX England
LUMAX PRECISION ENGINEERING LIMITED,13423437,Active,Private limited company,,,2021-05-27,,,71129,Unit 5 Parkwater Farm Forest Road Newport PO30 4LY England
KINGSWOOD COURT (SANDOWN ISLE OF WIGHT) LIMITED,06637843,Active,Private limited company,,,2008-07-03,,,82990,Flat 12 Kingswood Court 9a The Broadway Sandown PO36 9FN England
LITFIN PLATFORM LIMITED,12993236,Active,Private limited company,,,2020-11-03,,,64205,Northwood House Ward Avenue Cowes PO31 8AZ England
INVICTUS HOLDINGS IOW LTD,12155150,Active,Private limited company,,,2019-08-14,,,96090,Solent Inn 7 Monkton Street Ryde PO33 1JW United Kingdom
CS UTILITY CONTRACTORS LIMITED,08765604,Active,Private limited company,,,2013-11-07,,,42210,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
INTEGRATED YOGA AND MINDFULNESS LTD,09600181,Active,Private limited company,,,2015-05-20,,,82990,Arnold House 2 New Road Brading Sandown PO36 0DT England
WARRIOR WARHORSE LLP,OC377934,Active,Limited liability partnership,,,2012-08-24,,," ",16c Sandown Road Lake PO36 9JP England
CTRL E LIMITED,09934879,Active,Private limited company,,,2016-01-04,,,62020,Arnold House 2 New Road Brading PO36 0DT United Kingdom
WORK MY MEDIA LIMITED,13412691,Active,Private limited company,,,2021-05-21,,,73120,25 Windmill Close Ryde PO33 3JB United Kingdom
WINFORD COURT LIMITED,07673694,Active,Private limited company,,,2011-06-17,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham PO32 6LW "
MALL COURT MANAGEMENT COMPANY LIMITED,02335055,Active,Private limited company,,,1989-01-13,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham PO32 6LW "
WESTHILL MANAGEMENT (RYDE) LIMITED,02324807,Active,Private limited company,,,1988-12-05,,,98000,"The Estate Office Church Mews Beatrice Avenue East Cowes PO32 6LW "
GIBBS ENGINEERING LTD,09541798,Active,Private limited company,,,2015-04-14,,,25110,Colemans Farm Colemans Lane Porchfield PO30 4LX United Kingdom
GIBBS TIMBER ENGINEERING LTD,07553588,Active,Private limited company,,,2011-03-07,,,41202,"Colemans Farm Colemans Farm, Colemans Lane Porchfield Newport PO30 4LX United Kingdom"
FRIENDS OF ST MARY'S SHOP/CAFE LTD,07052819,Active,Private limited company,,,2009-10-22,,,56102,"The Main Foyer St Mary's Hospital Newport PO30 5TG "
ALVERSTONE LOFT CONVERSIONS LIMITED,05310182,Active,Private limited company,,,2004-12-10,,,41202,1 Langley Court Pyle Street Newport PO30 1LA England
KGM INVESTMENTS LIMITED,10503907,Active,Private limited company,,,2016-11-30,,,68209,Oak Cottage Ashey Road Ryde PO33 4BD United Kingdom
ISLE OF WIGHT JOBS LIMITED,08531702,Active,Private limited company,,,2013-05-16,,,73110,2 Westwood Road Ryde PO33 3BJ England
BASS MANAGEMENT GROUP LIMITED,11403931,Active,Private limited company,,,2018-06-07,,,98000,"Hilltop Dairy Farm Long Lane Newport PO30 2NW "
CLARENCE HOUSE (ISLE OF WIGHT) MANAGEMENT COMPANY LIMITED(THE),01347101,Active,Private limited company,,,1978-01-09,,,98000,"8 Gunville Road Newport PO30 5LB "
GLENFIELD COURT (MANAGEMENT) COMPANY LIMITED,01394471,Active,Private limited company,,,1978-10-17,,,98000,"8 Gunville Road Newport PO30 5LB "
CLEARWATER (EUROPE) LIMITED,02691334,Liquidation,Private limited company,,,1992-02-27,,,3320,"Morgans Farm Atherfield Green Isle Of Wight. PO38 2LG "
BROOKMAN HOMES LIMITED,01881026,Active,Private limited company,,,1985-01-28,,,99999,8 Foreland Road Bembridge PO35 5XW England
PROPERTY MANAGEMENT (SOLENT COURT I.W.) LIMITED,01913295,Active,Private limited company,,,1985-05-13,,,98000,"8 Gunville Road Newport PO30 5LB "
CASTLEBRIDGE HOMES LIMITED,02069929,Liquidation,Private limited company,,,1986-11-03,,,4521,"Pyle House 136/137 Pyle Street Newport PO30 1JW "
ROD TAYLOR LIMITED,00205286,Active,Private limited company,,,1925-04-15,,,5010,"41 Maresfield Road East Cowes PO32 6AF "
FAIREY MARINE (HAMBLE) LIMITED,00403986,Active,Private limited company,,,1946-02-01,,," ","Cowes Shipyard Pelham Road Cowes P031 70D "
RIPA FOOD LTD,03406749,Liquidation,Private limited company,,,1997-07-22,,,5530,"84 Upper St James Street Newport Isle Of Wight PO30 1LG "
CROMWELL CONSTRUCTION AND DEVELOPMENTS LTD.,02340634,Liquidation,Private limited by guarantee without share capital,,,1989-01-30,,,4521,"Bramble Down Headon Rise Totland Bay PO39 0ER "
SEAVIEW BAY MANAGEMENT LIMITED,02367364,Active,Private limited company,,,1989-03-31,,,98000,30 Chatfield Lodge Newport PO30 1XR England
W.A.SOUTER & SON(COWES)LIMITED,00700958,Active,Private limited company,,,1961-08-16,,," ","Thetis Road Cowes Isle Of Wight PO31 7DJ "
BRACKLA MANAGEMENT COMPANY (IOW) LIMITED,06566533,Active,Private limited company,,,2008-04-15,,,98000,"8 Gunville Road Newport PO30 5LB "
CLEVEDON HOUSE MANAGEMENT COMPANY LIMITED,05412763,Active,Private limited company,,,2005-04-04,,,98000,"8 Gunville Road Cowes PO30 5LB "
KISS FINANCIAL SERVICES LTD.,04444425,Liquidation,Private limited company,,,2002-05-22,,,6523,"3a Weavers Yard Lane End Road Bembridge PO35 5US "
STRATEGIC OPERATIONS LIMITED,05870555,Active,Private limited company,,,2006-07-10,,,81300 96090,30 Atkinson Drive Newport PO30 2LJ England
SOUTHLANDS DEVELOPMENTS LIMITED,05932672,Receiver Action,Private limited company,,,2006-09-12,,,4521,"The Annex, Fakenham Cottage, Eddington Road, St Helens, Ryde, PO33 1XS United Kingdom"
OLVER ASSOCIATES LIMITED,05442174,Active,Private limited company,,,2005-05-04,,,62020,Arnold House 2 New Road Brading Sandown PO36 0DT England
MAGNOLIA COURT (ISLE OF WIGHT) MANAGEMENT COMPANY LIMITED,04706383,Active,Private limited by guarantee without share capital,,,2003-03-21,,,98000,"8 Gunville Road Newport PO30 5LB "
FERN LODGE (IW) MANAGEMENT COMPANY LIMITED,05776100,Active,Private limited by guarantee without share capital,,,2006-04-10,,,98000,"8 Gunville Road Newport PO30 5LB "
GLOBAL IMPORTS AND SUPPLIES LTD,08867056,Liquidation,Private limited company,,,2014-01-29,,,81100,Marine Thetis Road Cowes PO31 7DJ England
ATLANTIC RALLY FOR CRUISERS LIMITED,04428195,Active,Private limited company,,,2002-04-30,,,93199 99999,"120 High Street Cowes Isle Of Wight PO31 7AX "
SAILING NETWORKS LIMITED,05080917,Active,Private limited company,,,2004-03-23,,,63120,"9 St Johns Place Newport PO30 1LH "
LAVELL & CO LIMITED,04804543,Liquidation,Private limited company,,,2003-06-19,,,6521,34 Swanmore Road Ryde PO33 2TG Po33 2tg
M & K UTILITIES LIMITED,04260122,Liquidation,Private limited company,,,2001-07-26,,,4100 4533,"5 Maple Drive Newport Isle Of Wight PO30 5QP "
7 OMMANNEY ROAD LIMITED,05521215,Active,Private limited company,,,2005-07-28,,,99999,"7a Ommanney Road Yarmouth Isle Of Wight PO41 0QA "
HBCSF LIMITED,05659605,Active,Private limited company,,,2005-12-20,,,47510,19 High Street Newport PO30 1SS England
M.A.N. SERVICES LIMITED,09473038,Active,Private limited company,,,2015-03-05,,,45200,"Flat 9 Heathlands 13 Leed Street Sandown PO36 8JQ "
CLAXTON CONSULTING LIMITED,08851446,Active,Private limited company,,,2014-01-20,,,70229,3 Garfield Road Ryde PO33 2PS United Kingdom
XYZ ACB METROLOGY LIMITED,09688510,Active,Private limited company,,,2015-07-16,,,71122,14 Salisbury Gardens Dudley Road Ventnor PO38 1EJ United Kingdom
UNION INN COWES LTD,08293896,Liquidation,Private limited company,,,2012-11-14,,,56302,"The Union Inn Watch House Lane Cowes PO31 7QH "
REED(I.O.W) LTD,07492082,Liquidation,Private limited company,,,2011-01-13,,,41202,"A5-A6 Palmers Brook Park Road Wootton PO33 4NS "
PLACESTANCE PROPERTY MANAGEMENT LIMITED,02816025,Active,Private limited company,,,1993-05-07,,,98000,30 Chatfield Lodge Newport PO30 1XR England
HODGE & CHILDS LIMITED,00760322,Active,Private limited company,,,1963-05-08,,,7415,"Moore Stephens, 9 St Johns Place Newport Isle Of Wight PO30 1LH "
